Experiment,Molecule Name,Vero-76_MERS-CoV-antiviral-effect_usu: EC50 (Mod),Vero-76_MERS-CoV-antiviral-effect_usu: EC50 (Num) (uM)
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.307
sinai,ASAP-0000733,,0.307
sinai,ASAP-0000733,,0.307
sinai,ASAP-0000733,,0.307
sinai,ASAP-0000733,,0.307
sinai,ASAP-0000733,,0.307
sinai,ASAP-0000733,,0.307
sinai,ASAP-0000733,,0.307
sinai,ASAP-0000733,,0.307
sinai,ASAP-0000733,,0.307
sinai,ASAP-0000733,,0.307
sinai,ASAP-0000733,,0.307
sinai,ASAP-0000733,,0.307
sinai,ASAP-0000733,,0.307
sinai,ASAP-0000733,,0.307
sinai,ASAP-0000733,,0.307
sinai,ASAP-0000733,,0.307
sinai,ASAP-0000733,,0.307
sinai,ASAP-0000654,,0.544
sinai,ASAP-0000654,,0.544
sinai,ASAP-0000654,,0.544
sinai,ASAP-0000654,,0.544
sinai,ASAP-0000654,,0.544
sinai,ASAP-0000654,,0.544
sinai,ASAP-0000654,,0.544
sinai,ASAP-0000654,,0.544
sinai,ASAP-0000654,,0.544
sinai,ASAP-0000654,,0.544
sinai,ASAP-0000654,,0.544
sinai,ASAP-0000654,,0.544
sinai,ASAP-0000654,,0.544
sinai,ASAP-0000654,,0.544
sinai,ASAP-0000654,,0.544
sinai,ASAP-0000654,,0.544
sinai,ASAP-0000654,,0.544
sinai,ASAP-0000654,,0.544
sinai,ASAP-0000654,,0.507
sinai,ASAP-0000654,,0.507
sinai,ASAP-0000654,,0.507
sinai,ASAP-0000654,,0.507
sinai,ASAP-0000654,,0.507
sinai,ASAP-0000654,,0.507
sinai,ASAP-0000654,,0.507
sinai,ASAP-0000654,,0.507
sinai,ASAP-0000654,,0.507
sinai,ASAP-0000654,,0.507
sinai,ASAP-0000654,,0.507
sinai,ASAP-0000654,,0.507
sinai,ASAP-0000654,,0.507
sinai,ASAP-0000654,,0.507
sinai,ASAP-0000654,,0.507
sinai,ASAP-0000654,,0.507
sinai,ASAP-0000654,,0.507
sinai,ASAP-0000654,,0.507
sinai,ASAP-0000580,,3.16
sinai,ASAP-0000580,,3.16
sinai,ASAP-0000580,,3.16
sinai,ASAP-0000580,,3.16
sinai,ASAP-0000580,,3.16
sinai,ASAP-0000580,,3.16
sinai,ASAP-0000580,,3.16
sinai,ASAP-0000580,,3.16
sinai,ASAP-0000580,,3.16
sinai,ASAP-0000580,,3.16
sinai,ASAP-0000580,,3.16
sinai,ASAP-0000580,,3.16
sinai,ASAP-0000580,,3.16
sinai,ASAP-0000580,,3.16
sinai,ASAP-0000580,,3.16
sinai,ASAP-0000580,,3.16
sinai,ASAP-0000580,,3.16
sinai,ASAP-0000580,,3.16
sinai,ASAP-0000580,,3.12
sinai,ASAP-0000580,,3.12
sinai,ASAP-0000580,,3.12
sinai,ASAP-0000580,,3.12
sinai,ASAP-0000580,,3.12
sinai,ASAP-0000580,,3.12
sinai,ASAP-0000580,,3.12
sinai,ASAP-0000580,,3.12
sinai,ASAP-0000580,,3.12
sinai,ASAP-0000580,,3.12
sinai,ASAP-0000580,,3.12
sinai,ASAP-0000580,,3.12
sinai,ASAP-0000580,,3.12
sinai,ASAP-0000580,,3.12
sinai,ASAP-0000580,,3.12
sinai,ASAP-0000580,,3.12
sinai,ASAP-0000580,,3.12
sinai,ASAP-0000580,,3.12
sinai,ASAP-0000577,,3.06
sinai,ASAP-0000577,,3.06
sinai,ASAP-0000577,,3.06
sinai,ASAP-0000577,,3.06
sinai,ASAP-0000577,,3.06
sinai,ASAP-0000577,,3.06
sinai,ASAP-0000577,,3.06
sinai,ASAP-0000577,,3.06
sinai,ASAP-0000577,,3.06
sinai,ASAP-0000577,,3.06
sinai,ASAP-0000577,,3.06
sinai,ASAP-0000577,,3.06
sinai,ASAP-0000577,,3.06
sinai,ASAP-0000577,,3.06
sinai,ASAP-0000577,,3.06
sinai,ASAP-0000577,,3.06
sinai,ASAP-0000577,,3.06
sinai,ASAP-0000577,,3.06
sinai,ASAP-0000577,,1
sinai,ASAP-0000577,,1
sinai,ASAP-0000577,,1
sinai,ASAP-0000577,,1
sinai,ASAP-0000577,,1
sinai,ASAP-0000577,,1
sinai,ASAP-0000577,,1
sinai,ASAP-0000577,,1
sinai,ASAP-0000577,,1
sinai,ASAP-0000577,,1
sinai,ASAP-0000577,,1
sinai,ASAP-0000577,,1
sinai,ASAP-0000577,,1
sinai,ASAP-0000577,,1
sinai,ASAP-0000577,,1
sinai,ASAP-0000577,,1
sinai,ASAP-0000577,,1
sinai,ASAP-0000577,,1
sinai,ASAP-0000541,,5.69
sinai,ASAP-0000541,,5.69
sinai,ASAP-0000541,,5.69
sinai,ASAP-0000541,,5.69
sinai,ASAP-0000541,,5.69
sinai,ASAP-0000541,,5.69
sinai,ASAP-0000541,,5.69
sinai,ASAP-0000541,,5.69
sinai,ASAP-0000541,,5.69
sinai,ASAP-0000541,,5.69
sinai,ASAP-0000541,,5.69
sinai,ASAP-0000541,,5.69
sinai,ASAP-0000541,,5.69
sinai,ASAP-0000541,,5.69
sinai,ASAP-0000541,,5.69
sinai,ASAP-0000541,,5.69
sinai,ASAP-0000541,,5.69
sinai,ASAP-0000541,,5.69
sinai,ASAP-0000541,,1.61
sinai,ASAP-0000541,,1.61
sinai,ASAP-0000541,,1.61
sinai,ASAP-0000541,,1.61
sinai,ASAP-0000541,,1.61
sinai,ASAP-0000541,,1.61
sinai,ASAP-0000541,,1.61
sinai,ASAP-0000541,,1.61
sinai,ASAP-0000541,,1.61
sinai,ASAP-0000541,,1.61
sinai,ASAP-0000541,,1.61
sinai,ASAP-0000541,,1.61
sinai,ASAP-0000541,,1.61
sinai,ASAP-0000541,,1.61
sinai,ASAP-0000541,,1.61
sinai,ASAP-0000541,,1.61
sinai,ASAP-0000541,,1.61
sinai,ASAP-0000541,,1.61
sinai,ASAP-0000541,,1.23
sinai,ASAP-0000541,,1.23
sinai,ASAP-0000541,,1.23
sinai,ASAP-0000541,,1.23
sinai,ASAP-0000541,,1.23
sinai,ASAP-0000541,,1.23
sinai,ASAP-0000541,,1.23
sinai,ASAP-0000541,,1.23
sinai,ASAP-0000541,,1.23
sinai,ASAP-0000541,,1.23
sinai,ASAP-0000541,,1.23
sinai,ASAP-0000541,,1.23
sinai,ASAP-0000541,,1.23
sinai,ASAP-0000541,,1.23
sinai,ASAP-0000541,,1.23
sinai,ASAP-0000541,,1.23
sinai,ASAP-0000541,,1.23
sinai,ASAP-0000541,,1.23
sinai,ASAP-0000375,,7.65
sinai,ASAP-0000375,,7.65
sinai,ASAP-0000375,,7.65
sinai,ASAP-0000375,,7.65
sinai,ASAP-0000375,,7.65
sinai,ASAP-0000375,,7.65
sinai,ASAP-0000375,,7.65
sinai,ASAP-0000375,,7.65
sinai,ASAP-0000375,,7.65
sinai,ASAP-0000375,,7.65
sinai,ASAP-0000375,,7.65
sinai,ASAP-0000375,,7.65
sinai,ASAP-0000375,,7.65
sinai,ASAP-0000375,,7.65
sinai,ASAP-0000375,,7.65
sinai,ASAP-0000375,,7.65
sinai,ASAP-0000375,,7.65
sinai,ASAP-0000375,,7.65
sinai,ASAP-0000374,,0.596
sinai,ASAP-0000374,,0.596
sinai,ASAP-0000374,,0.596
sinai,ASAP-0000374,,0.596
sinai,ASAP-0000374,,0.596
sinai,ASAP-0000374,,0.596
sinai,ASAP-0000374,,0.596
sinai,ASAP-0000374,,0.596
sinai,ASAP-0000374,,0.596
sinai,ASAP-0000374,,0.596
sinai,ASAP-0000374,,0.596
sinai,ASAP-0000374,,0.596
sinai,ASAP-0000374,,0.596
sinai,ASAP-0000374,,0.596
sinai,ASAP-0000374,,0.596
sinai,ASAP-0000374,,0.596
sinai,ASAP-0000374,,0.596
sinai,ASAP-0000374,,0.596
sinai,ASAP-0000374,,4.52
sinai,ASAP-0000374,,4.52
sinai,ASAP-0000374,,4.52
sinai,ASAP-0000374,,4.52
sinai,ASAP-0000374,,4.52
sinai,ASAP-0000374,,4.52
sinai,ASAP-0000374,,4.52
sinai,ASAP-0000374,,4.52
sinai,ASAP-0000374,,4.52
sinai,ASAP-0000374,,4.52
sinai,ASAP-0000374,,4.52
sinai,ASAP-0000374,,4.52
sinai,ASAP-0000374,,4.52
sinai,ASAP-0000374,,4.52
sinai,ASAP-0000374,,4.52
sinai,ASAP-0000374,,4.52
sinai,ASAP-0000374,,4.52
sinai,ASAP-0000374,,4.52
sinai,ASAP-0000372,,8.63
sinai,ASAP-0000372,,8.63
sinai,ASAP-0000372,,8.63
sinai,ASAP-0000372,,8.63
sinai,ASAP-0000372,,8.63
sinai,ASAP-0000372,,8.63
sinai,ASAP-0000372,,8.63
sinai,ASAP-0000372,,8.63
sinai,ASAP-0000372,,8.63
sinai,ASAP-0000372,,8.63
sinai,ASAP-0000372,,8.63
sinai,ASAP-0000372,,8.63
sinai,ASAP-0000372,,8.63
sinai,ASAP-0000372,,8.63
sinai,ASAP-0000372,,8.63
sinai,ASAP-0000372,,8.63
sinai,ASAP-0000372,,8.63
sinai,ASAP-0000372,,8.63
sinai,ASAP-0000372,,18
sinai,ASAP-0000372,,18
sinai,ASAP-0000372,,18
sinai,ASAP-0000372,,18
sinai,ASAP-0000372,,18
sinai,ASAP-0000372,,18
sinai,ASAP-0000372,,18
sinai,ASAP-0000372,,18
sinai,ASAP-0000372,,18
sinai,ASAP-0000372,,18
sinai,ASAP-0000372,,18
sinai,ASAP-0000372,,18
sinai,ASAP-0000372,,18
sinai,ASAP-0000372,,18
sinai,ASAP-0000372,,18
sinai,ASAP-0000372,,18
sinai,ASAP-0000372,,18
sinai,ASAP-0000372,,18
sinai,ASAP-0000372,,1.07
sinai,ASAP-0000372,,1.07
sinai,ASAP-0000372,,1.07
sinai,ASAP-0000372,,1.07
sinai,ASAP-0000372,,1.07
sinai,ASAP-0000372,,1.07
sinai,ASAP-0000372,,1.07
sinai,ASAP-0000372,,1.07
sinai,ASAP-0000372,,1.07
sinai,ASAP-0000372,,1.07
sinai,ASAP-0000372,,1.07
sinai,ASAP-0000372,,1.07
sinai,ASAP-0000372,,1.07
sinai,ASAP-0000372,,1.07
sinai,ASAP-0000372,,1.07
sinai,ASAP-0000372,,1.07
sinai,ASAP-0000372,,1.07
sinai,ASAP-0000372,,1.07
sinai,ASAP-0000272,,1.15
sinai,ASAP-0000272,,1.15
sinai,ASAP-0000272,,1.15
sinai,ASAP-0000272,,1.15
sinai,ASAP-0000272,,1.15
sinai,ASAP-0000272,,1.15
sinai,ASAP-0000272,,1.15
sinai,ASAP-0000272,,1.15
sinai,ASAP-0000272,,1.15
sinai,ASAP-0000272,,1.15
sinai,ASAP-0000272,,1.15
sinai,ASAP-0000272,,1.15
sinai,ASAP-0000272,,1.15
sinai,ASAP-0000272,,1.15
sinai,ASAP-0000272,,1.15
sinai,ASAP-0000272,,1.15
sinai,ASAP-0000272,,1.15
sinai,ASAP-0000272,,1.15
sinai,ASAP-0000272,,0.21
sinai,ASAP-0000272,,0.21
sinai,ASAP-0000272,,0.21
sinai,ASAP-0000272,,0.21
sinai,ASAP-0000272,,0.21
sinai,ASAP-0000272,,0.21
sinai,ASAP-0000272,,0.21
sinai,ASAP-0000272,,0.21
sinai,ASAP-0000272,,0.21
sinai,ASAP-0000272,,0.21
sinai,ASAP-0000272,,0.21
sinai,ASAP-0000272,,0.21
sinai,ASAP-0000272,,0.21
sinai,ASAP-0000272,,0.21
sinai,ASAP-0000272,,0.21
sinai,ASAP-0000272,,0.21
sinai,ASAP-0000272,,0.21
sinai,ASAP-0000272,,0.21
sinai,ASAP-0000272,,0.526
sinai,ASAP-0000272,,0.526
sinai,ASAP-0000272,,0.526
sinai,ASAP-0000272,,0.526
sinai,ASAP-0000272,,0.526
sinai,ASAP-0000272,,0.526
sinai,ASAP-0000272,,0.526
sinai,ASAP-0000272,,0.526
sinai,ASAP-0000272,,0.526
sinai,ASAP-0000272,,0.526
sinai,ASAP-0000272,,0.526
sinai,ASAP-0000272,,0.526
sinai,ASAP-0000272,,0.526
sinai,ASAP-0000272,,0.526
sinai,ASAP-0000272,,0.526
sinai,ASAP-0000272,,0.526
sinai,ASAP-0000272,,0.526
sinai,ASAP-0000272,,0.526
sinai,ASAP-0000226,,3.3
