Experiment,Molecule Name,Vero-76_MERS-CoV-antiviral-effect_usu: EC50 (Mod),Vero-76_MERS-CoV-antiviral-effect_usu: EC50 (Num) (uM)
sinai,ASAP-0000153,,0.259
sinai,ASAP-0000153,,0.259
sinai,ASAP-0000153,,0.259
sinai,ASAP-0000153,,0.259
sinai,ASAP-0000153,,0.259
sinai,ASAP-0000153,,0.259
sinai,ASAP-0000153,,0.259
sinai,ASAP-0000153,,0.259
sinai,ASAP-0000153,,0.259
sinai,ASAP-0000153,,0.259
sinai,ASAP-0000153,,0.259
sinai,ASAP-0000153,,0.259
sinai,ASAP-0000153,,0.259
sinai,ASAP-0000153,,0.259
sinai,ASAP-0000153,,0.259
sinai,ASAP-0000153,,0.259
sinai,ASAP-0000153,,0.22
sinai,ASAP-0000153,,0.22
sinai,ASAP-0000153,,0.22
sinai,ASAP-0000153,,0.22
sinai,ASAP-0000153,,0.22
sinai,ASAP-0000153,,0.22
sinai,ASAP-0000153,,0.22
sinai,ASAP-0000153,,0.22
sinai,ASAP-0000153,,0.22
sinai,ASAP-0000153,,0.22
sinai,ASAP-0000153,,0.22
sinai,ASAP-0000153,,0.22
sinai,ASAP-0000153,,0.22
sinai,ASAP-0000153,,0.22
sinai,ASAP-0000153,,0.22
sinai,ASAP-0000153,,0.22
sinai,ASAP-0000153,,0.22
sinai,ASAP-0000153,,0.22
