Experiment,Cell,Molecule Name,IC50 (Num) (uM),IC50 (Mod),PGP,Hour_after
mavda,TMPRSS2,ASAP-0008479,4.04,=,1,72
mavda,TMPRSS2,ASAP-0008452,7.06,=,1,72
mavda,TMPRSS2,ASAP-0008452,7.14,=,1,72
mavda,TMPRSS2,ASAP-0008451,4.23,=,1,72
mavda,TMPRSS2,ASAP-0008451,4.21,=,1,72
mavda,TMPRSS2,ASAP-0008420,1.33,=,1,72
mavda,TMPRSS2,ASAP-0008420,1.33,=,1,72
mavda,TMPRSS2,ASAP-0008411,4.15,=,1,72
mavda,TMPRSS2,ASAP-0008411,4.15,=,1,72
mavda,TMPRSS2,ASAP-0008330,3.84,=,1,72
mavda,TMPRSS2,ASAP-0008330,3.86,=,1,72
mavda,TMPRSS2,ASAP-0008315,36,>,1,72
mavda,TMPRSS2,ASAP-0008315,36,>,1,72
mavda,TMPRSS2,ASAP-0008314,1.99,=,1,72
mavda,TMPRSS2,ASAP-0008314,1.91,=,1,72
mavda,TMPRSS2,ASAP-0008258,4.05,=,1,72
mavda,TMPRSS2,ASAP-0008258,4.28,=,1,72
mavda,TMPRSS2,ASAP-0000774,0.706,=,1,72
mavda,TMPRSS2,ASAP-0000774,0.932,=,1,72
mavda,TMPRSS2,ASAP-0000738,1.19,=,1,72
mavda,TMPRSS2,ASAP-0000738,1.25,=,1,72
mavda,TMPRSS2,ASAP-0000734,3.34,=,1,72
mavda,TMPRSS2,ASAP-0000734,3.56,=,1,72
mavda,TMPRSS2,ASAP-0000733,0.253,=,1,72
mavda,TMPRSS2,ASAP-0000733,0.216,=,1,72
mavda,TMPRSS2,ASAP-0000733,0.279,=,1,72
mavda,TMPRSS2,ASAP-0000733,0.253,=,1,72
mavda,TMPRSS2,ASAP-0000580,3.44,=,1,72
mavda,TMPRSS2,ASAP-0000580,3.5,=,1,72
mavda,TMPRSS2,ASAP-0000541,1.8,=,1,72
mavda,TMPRSS2,ASAP-0000541,1.41,=,1,72
mavda,TMPRSS2,ASAP-0000528,5.44,=,1,72
mavda,TMPRSS2,ASAP-0000528,5.71,=,1,72
mavda,TMPRSS2,ASAP-0000526,1.27,=,1,72
mavda,TMPRSS2,ASAP-0000526,1.33,=,1,72
mavda,TMPRSS2,ASAP-0000523,4.27,=,1,72
mavda,TMPRSS2,ASAP-0000523,4.12,=,1,72
mavda,TMPRSS2,ASAP-0000375,1.25,=,1,72
mavda,TMPRSS2,ASAP-0000375,1.25,=,1,72
mavda,TMPRSS2,ASAP-0000374,1.34,=,1,72
mavda,TMPRSS2,ASAP-0000374,1.3,=,1,72
mavda,TMPRSS2,ASAP-0000373,1.3,=,1,72
mavda,TMPRSS2,ASAP-0000373,1.28,=,1,72
mavda,TMPRSS2,ASAP-0000372,1.29,=,1,72
mavda,TMPRSS2,ASAP-0000372,1.31,=,1,72
mavda,TMPRSS2,ASAP-0000370,0.051,=,1,72
mavda,TMPRSS2,ASAP-0000370,0.052,=,1,72
mavda,TMPRSS2,ASAP-0000370,0.051,=,1,72
mavda,TMPRSS2,ASAP-0000370,0.051,=,1,72
mavda,TMPRSS2,ASAP-0000272,0.501,=,1,72
mavda,TMPRSS2,ASAP-0000272,0.707,=,1,72
mavda,TMPRSS2,ASAP-0000227,4.34,=,1,72
mavda,TMPRSS2,ASAP-0000227,4.32,=,1,72
mavda,TMPRSS2,ASAP-0000223,10.6,=,1,72
mavda,TMPRSS2,ASAP-0000223,4.62,=,1,72
mavda,TMPRSS2,ASAP-0000222,9.67,=,1,72
mavda,TMPRSS2,ASAP-0000222,7.47,=,1,72
mavda,TMPRSS2,ASAP-0000221,4.16,=,1,72
mavda,TMPRSS2,ASAP-0000221,4.1,=,1,72
mavda,TMPRSS2,ASAP-0000220,4.36,=,1,72
mavda,TMPRSS2,ASAP-0000220,4.14,=,1,72
mavda,TMPRSS2,ASAP-0000219,7.25,=,1,72
mavda,TMPRSS2,ASAP-0000219,6.34,=,1,72
mavda,TMPRSS2,ASAP-0000217,7.5,=,1,72
mavda,TMPRSS2,ASAP-0000217,6.92,=,1,72
mavda,TMPRSS2,ASAP-0000216,4.31,=,1,72
mavda,TMPRSS2,ASAP-0000216,2.79,=,1,72
mavda,TMPRSS2,ASAP-0000215,4.25,=,1,72
