Experiment,Cell,Molecule Name,IC50 (Num) (uM),IC50 (Mod),PGP,Hour_after
sinai,TMPRSS2,ASAP-0016097,5,>,1,
sinai,TMPRSS2,ASAP-0016087,0.615,=,1,
sinai,TMPRSS2,ASAP-0015916,0.718,=,1,
sinai,TMPRSS2,ASAP-0015916,2.27,=,1,
sinai,TMPRSS2,ASAP-0015913,0.671,=,1,
sinai,TMPRSS2,ASAP-0015910,0.61,=,1,
sinai,TMPRSS2,ASAP-0015910,0.854,=,1,
sinai,TMPRSS2,ASAP-0015906,0.449,=,1,
sinai,TMPRSS2,ASAP-0015906,1.35,=,1,
sinai,TMPRSS2,ASAP-0015906,0.317,=,1,
sinai,TMPRSS2,ASAP-0015904,1.39,=,1,
sinai,TMPRSS2,ASAP-0015904,1.36,=,1,
sinai,TMPRSS2,ASAP-0015896,0.723,=,1,
sinai,TMPRSS2,ASAP-0015896,0.801,=,1,
sinai,TMPRSS2,ASAP-0015677,0.083,=,1,
sinai,TMPRSS2,ASAP-0015677,0.343,=,1,
sinai,TMPRSS2,ASAP-0015672,0.0761,=,1,
sinai,TMPRSS2,ASAP-0015672,0.24,=,1,
sinai,TMPRSS2,ASAP-0015669,0.0721,=,1,
sinai,TMPRSS2,ASAP-0015663,0.185,=,1,
sinai,TMPRSS2,ASAP-0015663,0.153,=,1,
sinai,TMPRSS2,ASAP-0015660,0.0847,=,1,
sinai,TMPRSS2,ASAP-0015660,0.527,=,1,
sinai,TMPRSS2,ASAP-0015657,0.0607,=,1,
sinai,TMPRSS2,ASAP-0015657,0.0427,=,1,
sinai,TMPRSS2,ASAP-0015656,0.151,=,1,
sinai,TMPRSS2,ASAP-0015656,0.177,=,1,
sinai,TMPRSS2,ASAP-0015646,0.0732,=,1,
sinai,TMPRSS2,ASAP-0015646,0.0861,=,1,
sinai,TMPRSS2,ASAP-0015646,0.155,=,1,
sinai,TMPRSS2,ASAP-0015642,0.0865,=,1,
sinai,TMPRSS2,ASAP-0015642,0.209,=,1,
sinai,TMPRSS2,ASAP-0015521,0.0383,=,1,
sinai,TMPRSS2,ASAP-0015521,0.136,=,1,
sinai,TMPRSS2,ASAP-0015521,0.0214,=,1,
sinai,TMPRSS2,ASAP-0015521,0.164,=,1,
sinai,TMPRSS2,ASAP-0015517,1.88,=,1,
sinai,TMPRSS2,ASAP-0015517,0.878,=,1,
