Molecule Name,MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 (uM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM)
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016548,,4.25
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016547,7.881,5.69
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016546,10.258,5.63
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
