,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_sigma:00773:3,-24.734,0.24,-25.181,-24.289,0.006,0.004,1571.0,2301.0,1.0
log_sigma:08374:0,-23.596,0.229,-24.03,-23.171,0.007,0.005,1161.0,1508.0,1.0
log_sigma:08374:1,-25.643,0.222,-26.037,-25.231,0.008,0.006,1110.0,835.0,1.01
log_sigma:08374:2,-23.682,0.221,-24.086,-23.269,0.007,0.005,1130.0,2294.0,1.0
log_sigma:08374:3,-24.681,0.216,-25.07,-24.272,0.007,0.005,926.0,1403.0,1.0
log_sigma:08401:0,-23.153,0.219,-23.559,-22.738,0.005,0.003,2301.0,2804.0,1.0
log_sigma:08401:1,-25.631,0.227,-26.036,-25.195,0.005,0.003,2250.0,2490.0,1.0
log_sigma:08401:2,-23.211,0.23,-23.628,-22.783,0.008,0.006,885.0,1440.0,1.01
log_sigma:08401:3,-24.755,0.226,-25.173,-24.323,0.006,0.004,1670.0,2488.0,1.0
log_sigma:08420:0,-23.56,0.246,-24.013,-23.094,0.014,0.01,406.0,254.0,1.01
log_sigma:08420:1,-25.831,0.244,-26.268,-25.373,0.006,0.004,1625.0,2173.0,1.0
log_sigma:08420:2,-23.317,0.237,-23.738,-22.847,0.01,0.007,565.0,542.0,1.01
log_sigma:08420:3,-24.655,0.247,-25.104,-24.198,0.007,0.005,1296.0,1983.0,1.0
log_sigma:08452:0,-23.46,0.228,-23.888,-23.043,0.006,0.004,1643.0,2561.0,1.0
log_sigma:08452:1,-25.591,0.221,-25.992,-25.178,0.005,0.004,1785.0,1617.0,1.0
log_sigma:08452:2,-23.284,0.22,-23.718,-22.893,0.01,0.007,507.0,609.0,1.01
log_sigma:08452:3,-24.831,0.219,-25.243,-24.428,0.005,0.003,2241.0,3257.0,1.0
log_sigma:08502:0,-23.105,0.233,-23.515,-22.657,0.006,0.004,1472.0,2425.0,1.0
log_sigma:08502:1,-25.716,0.219,-26.108,-25.3,0.006,0.004,1344.0,2590.0,1.0
log_sigma:08502:2,-23.183,0.236,-23.628,-22.745,0.005,0.004,2063.0,2884.0,1.0
log_sigma:08502:3,-24.727,0.229,-25.158,-24.31,0.006,0.004,1746.0,2025.0,1.0
log_sigma:ES:0,-23.131,0.207,-23.523,-22.746,0.009,0.006,566.0,1313.0,1.01
