,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_sigma:08420:3,-24.667,0.248,-25.103,-24.205,0.013,0.009,399.0,471.0,1.02
log_sigma:08452:0,-23.46,0.23,-23.875,-23.026,0.005,0.004,2012.0,2081.0,1.01
log_sigma:08452:1,-25.596,0.214,-25.995,-25.211,0.007,0.005,965.0,1574.0,1.0
log_sigma:08452:2,-23.28,0.212,-23.666,-22.884,0.009,0.007,515.0,747.0,1.0
log_sigma:08452:3,-24.826,0.228,-25.243,-24.393,0.008,0.005,972.0,1177.0,1.0
log_sigma:08502:0,-23.121,0.241,-23.56,-22.67,0.007,0.005,1255.0,1614.0,1.0
log_sigma:08502:1,-25.71,0.232,-26.106,-25.247,0.011,0.008,442.0,877.0,1.0
log_sigma:08502:2,-23.187,0.235,-23.621,-22.725,0.008,0.006,908.0,1334.0,1.0
log_sigma:08502:3,-24.703,0.233,-25.112,-24.255,0.012,0.008,420.0,414.0,1.01
log_sigma:ES:0,-23.113,0.206,-23.483,-22.713,0.012,0.008,318.0,870.0,1.01
