Molecule Name,IC50 (Num),IC50 (Mod),Hill (Num),Minh_pIC50 (Num)
ASAP-0013889,24.19,=,2.666,5.37
ASAP-0013836,,,,4.81
ASAP-0013834,,,,5.27
ASAP-0013832,17.396,=,2.384,5.55
ASAP-0013814,11.37,=,3.17,5.54
ASAP-0013743,,,,4.71
ASAP-0013743,49.75,>,,4.25
ASAP-0013739,2.51,=,23.453,5.94
ASAP-0013735,23.042,=,2.571,5.47
ASAP-0013731,2.365,=,3.78,6.23
ASAP-0013722,0.471,=,3.745,6.92
ASAP-0013721,10.367,=,5.207,5.46
ASAP-0013720,10.344,=,5.563,5.45
ASAP-0013719,10.818,=,7.124,5.52
ASAP-0013718,,,,4.59
ASAP-0013717,,,,4.62
ASAP-0013716,10.192,=,6.046,5.51
ASAP-0013715,9.534,=,7.928,5.77
ASAP-0013713,99.5,>,,4.84
ASAP-0013646,3.616,=,1.302,
ASAP-0013629,99.5,>,0.5,6.9
ASAP-0013612,17.244,=,1.052,4.83
ASAP-0013423,8.075,=,4.043,6.01
ASAP-0013423,5.503,=,2.122,6.01
ASAP-0013414,0.802,=,2.509,6.9
ASAP-0013414,0.471,=,2.484,6.9
ASAP-0013413,1.721,=,2.825,6.5
ASAP-0013413,1.181,=,2.498,6.5
ASAP-0013412,2.313,=,4.683,6.37
ASAP-0013412,1.511,=,2.543,6.37
ASAP-0013407,8.277,=,4.242,5.98
ASAP-0013407,5.186,=,2.357,5.98
ASAP-0013405,9.82,=,19.776,5.8
ASAP-0013405,7.108,=,3.166,5.8
ASAP-0013404,99.5,>,,4.07
ASAP-0013404,99.5,>,,4.07
ASAP-0013403,99.5,>,,3.84
ASAP-0013403,99.5,>,,3.84
ASAP-0013402,99.5,>,,4.31
ASAP-0013402,99.5,>,,4.31
ASAP-0013401,99.5,>,,3.61
ASAP-0013400,,,,4.76
ASAP-0013400,,,,4.76
ASAP-0013398,1.198,=,2.9,6.72
ASAP-0013398,0.817,=,2.43,6.72
ASAP-0013397,1.816,=,3.086,6.53
ASAP-0013397,1.261,=,2.8,6.53
ASAP-0013315,99.5,>,,4.19
ASAP-0013315,,,,4.19
ASAP-0013314,99.5,>,,4.46
ASAP-0013313,,,,5.16
ASAP-0013312,99.5,>,,4.35
ASAP-0013311,99.5,>,,4.25
ASAP-0013310,,,,5.14
ASAP-0013309,,,,4.79
ASAP-0013308,99.5,>,,4.23
ASAP-0013307,2.457,=,3.943,6.31
ASAP-0013306,99.5,>,,4.31
ASAP-0013305,10.194,=,5.643,5.59
ASAP-0013304,,,,5.51
ASAP-0013303,,,,4.6
ASAP-0013302,,,,4.59
ASAP-0013301,1.478,=,2.901,6.46
ASAP-0013300,0.41,=,2.751,6.92
ASAP-0013299,0.133,=,3.085,7.26
ASAP-0013299,0.221,=,1.8,7.18
ASAP-0013299,0.399,=,1.965,7.18
ASAP-0013298,0.494,=,2.773,6.73
ASAP-0013297,,,,5.05
ASAP-0013279,13.172,=,0.792,4.54
ASAP-0013274,1.792,=,2.808,6.46
ASAP-0013273,0.882,=,2.528,6.82
ASAP-0013272,2.406,=,3.659,6.4
ASAP-0013270,99.5,>,,3.8
ASAP-0013268,,,,5
ASAP-0013267,5.447,=,2.686,5.89
ASAP-0013266,2.145,=,3.289,6.39
ASAP-0013265,1.204,=,3.278,6.53
ASAP-0013264,2.286,=,3.313,6.35
ASAP-0013263,2.613,=,9.959,5.98
ASAP-0013262,9.773,=,12.499,5.67
ASAP-0013261,,,,5.07
ASAP-0013251,99.5,>,,4.27
ASAP-0013249,0.637,=,1.29,6.43
ASAP-0012422,,,,5.03
ASAP-0012347,99.5,>,,4.32
ASAP-0012345,,,,20
ASAP-0012343,99.5,>,,4.99
ASAP-0012341,99.5,>,,5.53
ASAP-0012339,9.084,=,5.928,5.95
ASAP-0012337,2.57,=,14.498,6.22
ASAP-0012335,5.841,=,2.48,6.04
ASAP-0012333,7.698,=,3.047,5.98
ASAP-0012331,7.948,=,3.777,5.86
ASAP-0012326,,,,4.79
ASAP-0012314,99.5,>,,
ASAP-0012246,0.396,>,,
ASAP-0012230,0.396,>,,6.6
ASAP-0012168,0.396,>,,
ASAP-0012097,0.396,>,,6.41
ASAP-0011947,0.396,>,,6.59
ASAP-0011913,0.396,>,,
ASAP-0011892,0.396,>,,15
ASAP-0011533,,,,4.6
ASAP-0011532,32.995,=,8.005,5.04
ASAP-0011531,31.812,=,14.353,5.03
ASAP-0011529,18.972,=,2.375,5.47
ASAP-0011528,1.568,=,2.592,6.32
ASAP-0011527,99.5,>,,
ASAP-0011526,99.5,>,,4.09
ASAP-0011519,99.5,>,,20
ASAP-0011519,99.5,>,,20
ASAP-0011518,99.5,>,,4.6
ASAP-0011518,99.5,>,,4.6
ASAP-0011517,,,,5.15
ASAP-0011517,,,,5.15
ASAP-0011516,99.5,>,,4.18
ASAP-0011516,99.5,>,,4.18
ASAP-0011515,99.5,>,,4.4
ASAP-0011515,99.5,>,,4.4
ASAP-0011514,99.5,>,,6.83
ASAP-0011513,1.574,=,2.888,6.42
ASAP-0011512,99.5,>,,
ASAP-0011511,99.5,>,,4.28
ASAP-0011510,99.5,>,,13.6
ASAP-0011509,,,,4.82
ASAP-0011508,99.5,>,,
ASAP-0011507,99.5,>,,4.3
ASAP-0011506,99.5,>,,4.24
ASAP-0011505,99.5,>,,4.04
ASAP-0011504,99.5,>,,
ASAP-0011503,99.5,>,,4.1
ASAP-0011502,99.5,>,,4.23
ASAP-0011501,99.5,>,,3.11
ASAP-0011500,99.5,>,,4.25
ASAP-0011499,99.5,>,,4
ASAP-0011498,99.5,>,,4.22
ASAP-0011497,99.5,>,,3.95
ASAP-0011496,99.5,>,,
ASAP-0011495,99.5,>,,4.29
ASAP-0011494,99.5,>,,3.69
ASAP-0011493,,,,4.62
ASAP-0011492,99.5,>,,4.1
ASAP-0011491,99.5,>,,4.21
ASAP-0011490,99.5,>,,4.26
ASAP-0011489,99.5,>,,4.33
ASAP-0011488,99.5,>,,19
ASAP-0011487,99.5,>,,4.1
ASAP-0011486,99.5,>,,4.26
ASAP-0011485,2.351,=,4.028,6.33
ASAP-0011484,99.5,>,,4.32
ASAP-0011483,,,,5.5
ASAP-0011482,99.5,>,,4.78
ASAP-0011481,99.5,>,,3.53
ASAP-0011480,,,,5.01
ASAP-0011479,,,,5.06
ASAP-0011478,99.5,>,,4.29
ASAP-0011477,,,,5.08
ASAP-0011476,99.5,>,,4.04
ASAP-0011475,99.5,>,,4.07
ASAP-0011474,,,,4.51
ASAP-0011473,99.5,>,,4.05
ASAP-0011472,99.5,>,,4.33
ASAP-0011471,99.5,>,,4.39
ASAP-0011470,,,,4.54
ASAP-0011469,,,,4.5
ASAP-0011468,99.5,>,,4.88
ASAP-0011467,,,,5.11
ASAP-0011466,99.5,>,,4.23
ASAP-0011465,99.5,>,,4.12
ASAP-0011464,99.5,>,,4.36
ASAP-0011463,99.5,>,,3.32
ASAP-0011462,99.5,>,,
ASAP-0011460,99.5,>,,3.69
ASAP-0011458,,,,4.75
ASAP-0011456,,,,5.29
ASAP-0011454,99.5,>,,7.29
ASAP-0011451,99.5,>,,4.23
ASAP-0011449,99.5,>,,4.07
ASAP-0011445,1.301,=,2.987,6.52
ASAP-0011443,,,,4.63
ASAP-0011438,99.5,>,,4.01
ASAP-0011434,99.5,>,,4.22
ASAP-0011430,13.77,=,2.741,5.6
ASAP-0011415,,,,5.79
ASAP-0011414,99.5,>,,4.07
ASAP-0011412,99.5,>,,4.87
ASAP-0011410,99.5,>,,4.37
ASAP-0011408,,,,4.64
ASAP-0011405,99.5,>,,4.33
ASAP-0011404,99.5,>,,4.3
ASAP-0011402,99.5,>,,3.79
ASAP-0011400,99.5,>,,4.06
ASAP-0011398,99.5,>,,4.82
ASAP-0011396,99.5,>,,4.36
ASAP-0011394,99.5,>,,4.28
ASAP-0011391,99.5,>,,4.28
ASAP-0011390,99.5,>,,4.25
ASAP-0011388,99.5,>,,4.55
ASAP-0011385,99.5,>,,4.27
ASAP-0011384,99.5,>,,4.28
ASAP-0011382,99.5,>,,4.97
ASAP-0011379,,,,4.52
ASAP-0011378,99.5,>,,4.26
ASAP-0011376,99.5,>,,20
ASAP-0011373,99.5,>,,4.25
ASAP-0011371,99.5,>,,4.34
ASAP-0011370,99.5,>,,4.27
ASAP-0011368,9.793,=,6.894,5.76
ASAP-0011366,99.5,>,,4.25
ASAP-0011364,99.5,>,,4.09
ASAP-0011362,99.5,>,,3.97
ASAP-0011359,2.213,=,3.848,6.4
ASAP-0011358,,,,5.24
ASAP-0011356,99.5,>,,4.32
ASAP-0011353,99.5,>,,6.69
ASAP-0011351,99.5,>,,4.25
ASAP-0011349,,,,5.7
ASAP-0011347,10.013,=,10.647,5.6
ASAP-0011346,99.5,>,10.423,4.23
ASAP-0011343,2.498,=,6.583,6.29
ASAP-0011342,99.5,>,,4.27
ASAP-0011340,99.5,>,,4.3
ASAP-0011338,,,,5.59
ASAP-0011336,99.5,>,,4.49
ASAP-0011334,99.5,>,,4.39
ASAP-0011332,99.5,>,,4.99
