Molecule Name,IC50 (uM),Hill
ASAP-0011140,14.011,2.487
ASAP-0011139,16.702,3.076
ASAP-0011138,7.726,3.984
ASAP-0011138,4.743,2.804
ASAP-0011137,1.006,2.998
ASAP-0011137,0.836,2.435
ASAP-0011133,16.654,3.417
ASAP-0011130,54.69,1.587
ASAP-0011129,1.854,2.579
ASAP-0011127,7.559,2.973
ASAP-0011124,0.634,2.236
ASAP-0011067,27.342,3
ASAP-0011059,6.575,2.86
ASAP-0011056,22.744,3.599
ASAP-0011052,1.41,2.694
ASAP-0011052,1.491,3.666
ASAP-0011049,0.741,3.23
ASAP-0011049,0.944,2.619
ASAP-0011044,10.203,2.89
ASAP-0011043,25.979,2.881
ASAP-0011041,1.281,1.265
ASAP-0011040,20.517,2.371
ASAP-0011038,2.014,2.499
ASAP-0011038,2.669,3.119
ASAP-0011034,0.642,2.97
ASAP-0011034,0.953,2.707
ASAP-0011031,0.731,3.055
ASAP-0011031,0.666,2.446
ASAP-0011017,6.598,4.295
ASAP-0010940,44.987,3.284
ASAP-0010757,15.257,2.712
ASAP-0010754,31.119,2.802
ASAP-0010753,84.464,1.294
ASAP-0010753,24.169,0.96
ASAP-0010753,6.423,0.56
ASAP-0010752,1.09,2.392
ASAP-0010752,1.221,2.789
ASAP-0010752,0.539,2.347
ASAP-0010750,17.435,2.172
ASAP-0010746,45.257,2.85
ASAP-0010743,0.542,2.433
ASAP-0010743,0.732,2.277
ASAP-0010743,0.242,2.215
ASAP-0010742,24.383,2.282
ASAP-0010740,23,2.684
ASAP-0010740,15.791,2.074
ASAP-0010738,6.83,2.889
ASAP-0010736,14.606,2.384
ASAP-0010736,17.595,2.593
ASAP-0010734,11.409,1.805
ASAP-0010734,16.785,1.604
ASAP-0010726,80.025,0.5
ASAP-0010726,5.901,2.743
ASAP-0010725,22.615,2.709
ASAP-0010725,23.829,2.756
ASAP-0010724,96.49,2.142
ASAP-0010724,5.341,0.948
ASAP-0010724,4.672,1.509
ASAP-0010722,22.599,3.093
ASAP-0010722,27.022,4.141
ASAP-0010721,87.909,1.413
ASAP-0010721,33.872,0.605
ASAP-0010721,9.968,0.5
ASAP-0010721,4.274,0.969
ASAP-0010719,12.278,1.141
ASAP-0010719,8.085,1.325
ASAP-0010714,19.955,2.34
ASAP-0010714,22.184,3.034
ASAP-0010712,9.911,2.705
ASAP-0010712,17.451,2.335
ASAP-0010711,8.659,2.885
ASAP-0010711,11.31,2.765
ASAP-0008681,32.416,3.195
ASAP-0008675,13.551,2.815
ASAP-0008672,11.791,2.904
ASAP-0008671,33.323,3.106
ASAP-0008669,19.166,2.369
ASAP-0008667,94.83,4.065
ASAP-0008665,7.72,3.08
ASAP-0008661,53.045,3.581
ASAP-0008653,9.605,3.048
ASAP-0008642,15.148,2.69
ASAP-0008639,17.132,2.542
ASAP-0008636,78.462,2.66
ASAP-0008634,24.032,3.865
ASAP-0008631,41.128,3.443
ASAP-0008629,13.534,2.747
