Experiment,Cell,Molecule Name,IC50 (uM),Hill,PGP,Hour_after
Mavda,TMPRSS2,ASAP-0008479,10.5,-2.56,1,48
Mavda,TMPRSS2,ASAP-0008452,12.6,-10.4,1,48
Mavda,TMPRSS2,ASAP-0008452,24.1,-1.76,1,48
Mavda,TMPRSS2,ASAP-0008451,11.5,-13,1,48
Mavda,TMPRSS2,ASAP-0008451,12.5,-6.8,1,48
Mavda,TMPRSS2,ASAP-0008420,2.73,-2.08,1,48
Mavda,TMPRSS2,ASAP-0008420,4.32,-2.31,1,48
Mavda,TMPRSS2,ASAP-0008411,7.8,-2.66,1,48
Mavda,TMPRSS2,ASAP-0008411,9.38,-2.53,1,48
Mavda,TMPRSS2,ASAP-0008330,3.97,-13.3,1,48
Mavda,TMPRSS2,ASAP-0008330,6.71,-2.44,1,48
Mavda,TMPRSS2,ASAP-0008315,36,,1,48
Mavda,TMPRSS2,ASAP-0008314,3.91,-7.45,1,48
Mavda,TMPRSS2,ASAP-0008314,3.41,-2.88,1,48
Mavda,TMPRSS2,ASAP-0008258,5.69,-2.34,1,48
Mavda,TMPRSS2,ASAP-0008258,6.12,-2.18,1,48
Mavda,TMPRSS2,ASAP-0000774,1.24,-15.2,1,48
Mavda,TMPRSS2,ASAP-0000774,1.92,-2.78,1,48
Mavda,TMPRSS2,ASAP-0000738,1.69,-3.12,1,48
Mavda,TMPRSS2,ASAP-0000738,1.71,-2.85,1,48
Mavda,TMPRSS2,ASAP-0000734,8.3,-1.95,1,48
Mavda,TMPRSS2,ASAP-0000734,7.19,-1.75,1,48
Mavda,TMPRSS2,ASAP-0000733,0.733,-3.67,1,48
Mavda,TMPRSS2,ASAP-0000733,0.458,-10,1,48
Mavda,TMPRSS2,ASAP-0000733,0.296,-2.25,1,48
Mavda,TMPRSS2,ASAP-0000733,0.354,-3.45,1,48
Mavda,TMPRSS2,ASAP-0000733,0.623,-2.28,1,48
Mavda,TMPRSS2,ASAP-0000580,5.89,-2.9,1,48
Mavda,TMPRSS2,ASAP-0000580,5.58,-2.96,1,48
Mavda,TMPRSS2,ASAP-0000541,2.38,-2.52,1,48
Mavda,TMPRSS2,ASAP-0000541,2.83,-2.36,1,48
Mavda,TMPRSS2,ASAP-0000528,12.7,-6.04,1,48
Mavda,TMPRSS2,ASAP-0000528,36,-1.55,1,48
Mavda,TMPRSS2,ASAP-0000526,1.76,-4.01,1,48
Mavda,TMPRSS2,ASAP-0000526,3.39,-1.72,1,48
Mavda,TMPRSS2,ASAP-0000523,10.5,-3.48,1,48
Mavda,TMPRSS2,ASAP-0000523,12,-3.06,1,48
Mavda,TMPRSS2,ASAP-0000375,1.4,-5.26,1,48
Mavda,TMPRSS2,ASAP-0000375,2,-3.65,1,48
Mavda,TMPRSS2,ASAP-0000374,1.39,-9.12,1,48
Mavda,TMPRSS2,ASAP-0000374,1.77,-3.77,1,48
Mavda,TMPRSS2,ASAP-0000373,1.75,-2.2,1,48
Mavda,TMPRSS2,ASAP-0000373,1.82,-2.41,1,48
Mavda,TMPRSS2,ASAP-0000372,1.42,-5.14,1,48
Mavda,TMPRSS2,ASAP-0000372,2.34,-3.57,1,48
Mavda,TMPRSS2,ASAP-0000370,0.128,-3.8,1,48
Mavda,TMPRSS2,ASAP-0000370,0.137,-2.2,1,48
Mavda,TMPRSS2,ASAP-0000370,0.072,-3.42,1,48
Mavda,TMPRSS2,ASAP-0000370,0.075,-2.86,1,48
Mavda,TMPRSS2,ASAP-0000370,0.096,-2.64,1,48
Mavda,TMPRSS2,ASAP-0000272,1.01,-4.43,1,48
