Experiment,Cell,Molecule Name,IC50 (uM),Hill,PGP,Hour_after
Mavda,TMPRSS2,ASAP-0011445,0.488,13.9,1,72
Mavda,TMPRSS2,ASAP-0011445,0.495,4.09,1,72
Mavda,TMPRSS2,ASAP-0011430,1.36,15.1,1,72
Mavda,TMPRSS2,ASAP-0011430,2.61,2.9,1,72
Mavda,TMPRSS2,ASAP-0011368,1.36,19.1,1,72
Mavda,TMPRSS2,ASAP-0011368,1.52,7.49,1,72
Mavda,TMPRSS2,ASAP-0011359,0.708,,1,72
Mavda,TMPRSS2,ASAP-0011359,0.663,,1,72
Mavda,TMPRSS2,ASAP-0011347,1.14,8.43,1,72
Mavda,TMPRSS2,ASAP-0011347,1.32,17.6,1,72
Mavda,TMPRSS2,ASAP-0011343,0.707,,1,72
Mavda,TMPRSS2,ASAP-0011343,0.427,1.71,1,72
Mavda,TMPRSS2,ASAP-0011202,4.88,2.02,1,72
Mavda,TMPRSS2,ASAP-0011202,4.24,9.93,1,72
Mavda,TMPRSS2,ASAP-0011200,4.49,14,1,72
Mavda,TMPRSS2,ASAP-0011200,4.5,13.9,1,72
Mavda,TMPRSS2,ASAP-0011143,2.12,2.64,1,72
Mavda,TMPRSS2,ASAP-0011143,1.91,2.54,1,72
Mavda,TMPRSS2,ASAP-0011141,0.322,1.05,1,72
Mavda,TMPRSS2,ASAP-0011141,0.398,0.87,1,72
Mavda,TMPRSS2,ASAP-0011140,1.32,4.04,1,72
Mavda,TMPRSS2,ASAP-0011140,1.4,4.11,1,72
Mavda,TMPRSS2,ASAP-0011139,3.8,3.7,1,72
Mavda,TMPRSS2,ASAP-0011139,4.22,12.4,1,72
Mavda,TMPRSS2,ASAP-0011138,0.228,1.23,1,72
Mavda,TMPRSS2,ASAP-0011138,0.334,1.3,1,72
Mavda,TMPRSS2,ASAP-0011137,0.049,20,1,72
Mavda,TMPRSS2,ASAP-0011137,0.051,13.2,1,72
Mavda,TMPRSS2,ASAP-0011133,3.18,3.16,1,72
Mavda,TMPRSS2,ASAP-0011133,4.03,19.8,1,72
Mavda,TMPRSS2,ASAP-0011129,0.407,1.66,1,72
Mavda,TMPRSS2,ASAP-0011129,0.491,10.9,1,72
Mavda,TMPRSS2,ASAP-0011124,1.62,4.7,1,72
