Molecule Name,pIC50,hill
ASAP-0010740,5.49,2.684
ASAP-0010740,5.49,2.074
ASAP-0010738,5.92,2.889
ASAP-0010736,5.42,2.384
ASAP-0010736,5.42,2.593
ASAP-0010734,5.89,1.805
ASAP-0010734,5.89,1.604
ASAP-0010726,5.09,0.5
ASAP-0010726,5.09,2.743
ASAP-0010725,5.28,2.709
ASAP-0010725,5.28,2.756
ASAP-0010724,4.77,2.142
ASAP-0010724,4.77,0.948
ASAP-0010724,4.77,1.509
ASAP-0010722,5.06,3.093
ASAP-0010722,5.06,4.141
ASAP-0010721,4.79,1.413
ASAP-0010721,4.79,0.605
ASAP-0010721,4.79,0.5
ASAP-0010721,4.79,0.969
ASAP-0010719,4.44,1.141
ASAP-0010719,4.44,1.325
ASAP-0010714,5.4,2.34
ASAP-0010714,5.4,3.034
ASAP-0010712,5.65,2.705
ASAP-0010712,5.65,2.335
ASAP-0010711,5.73,2.885
ASAP-0010711,5.73,2.765
ASAP-0008681,4.95,3.195
ASAP-0008675,5.48,2.815
ASAP-0008672,5.68,2.904
ASAP-0008671,5.11,3.106
ASAP-0008669,5.52,2.369
ASAP-0008667,4.52,4.065
ASAP-0008665,5.96,3.08
ASAP-0008661,4.73,3.581
ASAP-0008653,5.67,3.048
ASAP-0008642,5.36,2.69
ASAP-0008639,5.5,2.542
ASAP-0008636,4.72,2.66
ASAP-0008634,5.14,3.865
ASAP-0008631,4.92,3.443
ASAP-0008629,5.59,2.747
ASAP-0008627,4.81,3.163
ASAP-0008609,4.65,3.423
ASAP-0008606,5.24,3.306
ASAP-0008605,5.02,3.046
ASAP-0008599,4.62,3.326
ASAP-0008595,5.38,2.92
ASAP-0008588,4.48,4.153
ASAP-0008502,6.2,2.165
ASAP-0008493,4.45,4.168
ASAP-0008492,4.48,4.008
ASAP-0008489,5.92,2.703
ASAP-0008488,5.55,2.492
ASAP-0008479,6.2,2.637
ASAP-0008475,5.01,1.856
ASAP-0008466,4.77,3.218
ASAP-0008452,5.42,2.698
ASAP-0008451,5.69,2.954
ASAP-0008442,5.12,3.437
ASAP-0008439,4.79,3.578
ASAP-0008433,5.04,2.913
ASAP-0008427,4.49,1.839
ASAP-0008420,5.68,2.952
ASAP-0008411,5.4,2.901
ASAP-0008409,4.89,2.6
ASAP-0008408,5.02,2.684
ASAP-0008405,5.2,3.14
ASAP-0008404,5.05,3.282
ASAP-0008401,5.89,2.095
ASAP-0008393,5.36,2.699
ASAP-0008392,4.94,3.166
ASAP-0008388,5.36,2.77
ASAP-0008374,5.72,3.231
ASAP-0008373,5.26,3.425
ASAP-0008364,5.16,3.604
ASAP-0008359,5.69,2.11
